vinho,chave_estrangeira,origem,tipo,estilo
"Bread & Butter 'Winemaker's Selection' Chardonnay 2020/21, California",Chardonnay,USA,White,Rich & Toasty
Louis Latour Mâcon-Lugny 2021/22,Chardonnay,France,White,Ripe & Rounded
Louis Roederer 'Cristal' Champagne 2015,Chardonnay,France,White,
"LB7 Red 2020/21, Lisbon",Castelão,Portugal,Red,Rich & Juicy
Moët & Chandon 'Brut Impérial' Champagne,Chardonnay,France,White,Crisp & Fruity
Taittinger Brut Réserve Champagne,Chardonnay,France,White,Crisp & Fruity
Laurent-Perrier 'La Cuvée' Brut Champagne,Chardonnay,France,White,Crisp & Fruity
Heidsieck & Co. Monopole 'Gold Top' Champagne 2018,Chardonnay,France,White,Rich & Toasty
Cave de Lugny 'Reserve' Mâcon-Chardonnay 2021/22,Chardonnay,France,White,Ripe & Rounded
"Nyetimber 'Classic Cuvée' Brut, Sussex",Chardonnay,England,White,Rich & Toasty
"Definition English Sparkling Brut, Hampshire",Chardonnay,England,White,Crisp & Fruity
"Bread & Butter 'Winemaker's Selection' Cabernet Sauvignon 2021, California",Cabernet Sauvignon,USA,Red,Smooth & Mellow
"Balfour ‘The White’ 2021, Kent",Bacchus,England,White,Crisp & Zesty
"Abbotts & Delaunay 'Les Fleurs Sauvages' Viognier 2021/22, Languedoc",Viognier,France,White,Aromatic & Floral
"Nyetimber Brut Rosé, Sussex",Chardonnay,England,Rosé,Crisp & Fruity
Cave de Lugny 'Les Chenaudières' Bourgogne Chardonnay 2022,Chardonnay,France,White,Ripe & Rounded
La Raia 'Il Borgo' Organic Gavi 2021,Cortese,Italy,White,Aromatic & Floral
Château Recougne Bordeaux Supérieur 2019/20,Merlot,France,Red,Savoury & Full Bodied
Definition Chablis 2022,Chardonnay,France,White,Fresh & Elegant
Nicolas Feuillatte 2012/15 Champagne,Chardonnay,France,White,Rich & Toasty
Pommery 'Brut Royal' Champagne,Chardonnay,France,White,Crisp & Fruity
"Rocklin Ranch Cabernet Sauvignon 2020/21, Monterey",Cabernet Sauvignon,USA,Red,Smooth & Mellow
"Rocklin Ranch Chardonnay 2020/21, Monterey",Chardonnay,USA,White,Rich & Toasty
"Mayu Carménère Appassimento 2019/20, Chile",Carménère,Chile,Red,Rich & Juicy
"Vasse Felix 'Filius' Chardonnay 2021/22, Margaret River",Chardonnay,Australia,White,Rich & Toasty
"Château Fontesteau 2014, Haut-Médoc",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
Gabriel Allard Côtes du Rhône Blanc 2022,Marsanne,France,White,Ripe & Rounded
"Rustenberg Cabernet Sauvignon, 2020/21 Stellenbosch",Cabernet Sauvignon,South Africa,Red,Smooth & Mellow
Baron de Boutisse Saint-Émilion Grand Cru 2018/19,Merlot,France,Red,Savoury & Full Bodied
"Nettie Viognier 2019/21, California",Viognier,USA,White,Aromatic & Floral
Lanson Le Black Label Brut Champagne Magnum,Chardonnay,France,White,Crisp & Fruity
Lanson Le Blanc de Blancs Brut Champagne,Chardonnay,France,White,
Bouvet Ladubay Saumur Rosé Brut,Cabernet Franc,France,Rosé,Crisp & Fruity
"Beato Bartolomeo ‘Naturae' Vespaiolo 2022, Breganze DOC",Vespaiola,Italy,White,Crisp & Zesty
Piccini ‘Histrio’ Organic Anfora Toscana Rosso 2020,Sangiovese,Italy,Red,Soft & Fruity
Louis Jadot 'Les Roches Blanches' Mâcon-Villages 2022,Chardonnay,France,White,Ripe & Rounded
"Toast & Honey Chardonnay 2021, California",Chardonnay,USA,White,Rich & Toasty
"The Guv'nor Blanco, Spain",Verdejo,Spain,White,Crisp & Zesty
"Ridgeview 'Fitzrovia' Rosé, Sussex",Chardonnay,England,Rosé,Crisp & Fruity
Definition Gavi di Gavi DOCG 2021/22,Cortese,Italy,White,Fresh & Elegant
La Toledana Gavi di Gavi DOCG 2021,Cortese,Italy,White,Aromatic & Floral
"Toast & Honey Cabernet Sauvignon 2021, California",Cabernet Sauvignon,USA,Red,
"The Guv'nor Sparkling, Spain",Chardonnay,Spain,White,Crisp & Fruity
Louis Roederer 'Collection 243' Brut Champagne,Chardonnay,France,White,Rich & Toasty
Château Méaume Bordeaux Supérieur 2019/20,Merlot,France,Red,Savoury & Full Bodied
Definition White Burgundy 2021/22,Chardonnay,France,White,Ripe & Rounded
Domaine la Troupe ‘Cuvée Marie’ Viré-Clessé 2020/21,Chardonnay,France,White,Fresh & Elegant
"Capaia One 2019/20, Tygerberg",Cabernet Sauvignon,South Africa,Red,Smooth & Mellow
"Barista Pinotage 2021/22, Western Cape",Pinotage,South Africa,Red,Savoury & Full Bodied
"Men in White Coats Viognier 2022, Western Cape",Viognier,South Africa,White,Aromatic & Floral
"Definition Viognier 2020/21, Languedoc",Viognier,France,White,Aromatic & Floral
Taittinger Prestige Brut Rosé Champagne,Chardonnay,France,Rosé,Rich & Toasty
Bouvet Ladubay 'Blanc de Blancs' Crémant de Loire 2020/21,Chardonnay,France,White,Crisp & Fruity
"Brio de Cantenac Brown 2015, Margaux",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Barista Chardonnay 2021/22, Western Cape",Chardonnay,South Africa,White,Ripe & Rounded
Famille Brocard Chablis 2021/22,Chardonnay,France,White,Fresh & Elegant
Agostina Pieri Brunello di Montalcino DOCG 2017/18,Sangiovese,Italy,Red,Savoury & Full Bodied
"Pasqua DLZ ‘Idealysta’ Chardonnay-Fiano 2022, Puglia",Chardonnay,Italy,White,Ripe & Rounded
"Villiera Cap Classique Brut, Stellenbosch",Chardonnay,South Africa,White,Fresh & Elegant
Laurent-Perrier Millésimé 2012 Brut Champagne,Chardonnay,France,White,Rich & Toasty
